"","material","dolar","aco","ipca","amostragem","result"
"57",0.12114815304574,-0.0518900447712954,-0.200779206034759,0.179207123896494,1,0.130400679635246
"58",0.275386886722527,-0.026107178775558,-0.180238638207823,0.165958048209885,1,0.186822071603237
"59",0.0839181138823771,0.0598357078768995,-0.198211635056392,0.175368606641496,1,0.198366760583462
"60",0.0732809598357023,-0.0690786221017865,-0.263256766508357,0.195551778014553,1,0.0644801696168953
"61",0.0812588253707084,-0.086267199432278,-0.271815336436248,0.222792868211319,1,0.0852899529621109
"62",0.0373805649281742,0.0254585532159165,-0.307761330133386,0.270588599192918,1,0.0373097999310206
"63",0.0839181138823771,0.068429996542145,-0.302626188176652,0.307116424684036,2,0.031072436259914
"64",0.0839181138823771,0.154372883194602,-0.210193632955439,0.315536398017582,1,0.105663350109915
"65",0.0666327385565303,0.034052841881162,-0.184517923171768,0.316155513703872,1,0.0756621702400658
"66",0.102533133464058,-0.0347014674408039,-0.179382781215034,0.328414004292416,1,0.086324427375064
"67",0.102533133464058,0.171561460525094,-0.193076493099658,0.335471923116124,1,0.0786387464423164
"68",0.188960010093293,0.257504347177551,-0.217896345890539,0.332871637233706,1,0.114589100068827
"69",-0.160736429191148,0.231721481181814,-0.223887344840063,0.339434263508382,1,-0.124510696030269
"70",-0.388105596938826,0.291881501838534,-0.217040488897751,0.372495041156274,1,-0.367366887751659
"71",-0.426665280358024,0.248910058512306,-0.211049489948228,0.447408039197381,1,-0.445065626008325
"72",-0.424005991846354,0.283287213173289,-0.176815210236667,0.461152407433021,1,-0.447492609917449
"73",-0.373479510124648,0.446578697812957,-0.137445788568372,0.477744707825597,1,-0.377479154017657
"74",-0.326941961170445,0.910670285736227,-0.0441573763543692,0.482326163904144,2,-0.290755067438963
"75",-0.326941961170445,1.29741327567229,-0.030463664469745,0.461771523119311,1,-0.321605695725409
"76",-0.29503049903042,1.5638362242949,-0.0458690903399472,0.43675924939319,1,-0.297121872484292
"77",-0.195307179842842,1.18568752302409,-0.00478795468607453,0.453846842334798,2,-0.337227632877595
"78",-0.075639196817748,1.25444183234606,0.0850770295567722,0.477497061551082,2,-0.26551223808514
"79",0.0892366909057149,1.40913902832048,0.134716735138535,0.493470246257367,2,-0.113400780139944
"80",0.238156847559165,1.35757329632901,0.257104285107365,0.53594158233687,1,0.238299280356027
"81",0.690235894542853,1.55524193562966,0.410302686816599,0.593271694887337,1,0.683859900576208
"82",0.817881743102953,1.3747618736595,0.501023528052234,0.653202093320221,1,0.825597634332436
"83",0.817881743102953,1.14271607969786,0.578050657403246,0.74495503802842,2,0.84559053799214
"84",0.891012177173844,1.32319614166802,0.647375073819156,0.762166454107285,2,1.00607399050842
